iter	Passed	Remaining
0	1	132
1	2	115
2	3	107
3	4	98
4	5	95
5	5	93
6	6	92
7	8	92
8	8	90
9	9	87
10	10	85
11	11	83
12	12	82
13	13	81
14	14	81
15	15	79
16	16	78
17	16	77
18	17	76
19	18	74
20	19	73
21	20	72
22	21	71
23	22	70
24	23	69
25	23	68
26	24	67
27	25	66
28	26	65
29	27	64
30	28	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	61	30
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	87	0
99	88	0
